1,3.6,2.23,0.34,3.6,-0.122522,0.165215,0,0
51,3.6,2.22,0.34,3.6,-0.127349,0.167978,0,610
101,3.6,2.23,0.34,3.6,-0.100732,0.160713,0,610
151,3.6,2.22,0.34,3.6,-0.102041,0.171343,0,610
201,3.6,2.22,0.34,3.6,-0.102803,0.128195,0,610
251,0.48,2.21,0.34,3.6,-0.11071,0.179613,-528.336,14.0081
301,0.48,2.22,0.34,3.6,-0.0963042,0.141765,-540.003,14
351,0.46,2.22,0.34,3.6,-0.121068,0.194478,-551.669,12.0219
401,0.48,2.21,0.34,3.6,-0.115342,0.153464,-563.335,13.9623
451,0.52,2.21,0.34,3.6,-0.0943051,0.159036,-568.5,17.9127
501,0.44,0.69,3.6,2.34,-0.122534,0.47558,-377.02,4.00008
551,0.44,0.68,3.6,2.35,-0.280705,0.694082,-313.93,4.00008
601,0.43,0.68,3.6,2.36,-0.649986,0.236712,-322.447,4.00008
651,0.43,0.68,3.6,2.36,-0.0820451,0.257706,-329.313,4.00008
701,0.43,0.68,3.6,2.34,-0.110357,0.23671,-332.951,4.00008
751,0.44,0.68,3.6,2.35,0.446006,0.327632,-341.458,4.00008
801,0.44,0.68,3.6,2.34,-0.244483,0.332536,-346.784,4.00008
851,0.44,0.68,0.93,2.35,-0.328991,0.271961,-355.198,4.00008
901,0.44,0.68,0.93,2.36,-0.439745,0.197802,-357.266,4.00008
951,0.43,0.68,3.6,2.35,-0.0611648,0.0878218,-357.497,4.00008
1001,0.44,0.68,3.6,2.36,0.210371,-0.116407,-356.406,4.00008
1051,0.43,0.69,3.6,2.35,0.844588,-0.161359,-356.003,4.00008
1101,0.43,0.69,3.6,2.34,-0.167171,0.131214,-354.3,4.00008
1151,0.42,0.7,3.6,2.33,0.308746,0.0574126,-352.609,4.00008
1201,0.4,0.72,3.6,2.33,-0.23755,-0.046887,-352.633,4.00008
1251,0.4,0.74,3.6,2.31,0.255441,0.087333,-349.2,4.00008
1301,0.39,0.77,3.6,2.29,-0.366509,-0.0709269,-345.8,4.00008
1351,0.38,0.8,3.6,2.25,0.463205,-0.0354068,-339.185,4.00008
1401,0.37,0.84,3.6,2.24,-0.183581,-0.0108868,-337.349,4.00008
1451,0.36,0.86,3.6,2.2,0.340977,-0.158592,-330.837,4.00008
1501,0.36,0.91,3.6,2.15,0.179853,-0.0713406,-322.292,4.00008
1551,0.35,0.96,3.6,2.09,-0.345911,0.155838,-312.805,4.00008
1601,0.33,1.01,3.6,2.05,-0.0157882,-0.0531791,-305.869,4.00008
1651,0.32,1.07,3.6,2,0.352665,-0.337632,-298.026,4.00008
1701,0.31,1.14,3.6,1.92,0.300997,-0.198798,-288.082,4.00008
1751,0.29,1.2,3.6,1.88,0.168324,-0.190999,-276.113,4.00008
1801,0.28,1.28,0.82,1.8,-0.0962515,0.161327,-262.527,4.00008
1851,0.25,1.35,0.82,1.72,0.137732,-0.311639,-248.913,4.00008
1901,0.24,1.43,0.85,1.64,-0.620912,0.465923,-235.316,4.00008
1951,0.22,1.52,0.88,1.52,0.0611425,-0.0360553,-214.957,4.00008
2001,0.21,1.62,0.91,1.43,0.185554,-0.0346804,-199.665,4.00008
2051,0.2,1.7,0.92,1.34,-0.508044,-0.247574,-185.305,4.00008
2101,0.2,1.78,0.94,1.25,0.396348,-0.237043,-169.244,4.00008
2151,0.19,1.83,0.96,1.17,-0.0167105,-0.122985,-155.737,4.00008
2201,0.19,1.91,0.98,1.1,-0.534229,-0.262514,-144.082,4.00008
2251,0.21,1.97,0.99,1.03,-0.169456,-0.0352865,-132.606,4.00008
2301,1.47,2.04,1,0.96,0.437545,-0.273613,-131.603,183.935
2351,1.46,2.08,0.99,0.9,-0.220256,-0.00315005,-131.603,182.001
2401,1.46,2.03,0.98,0.84,0.109021,0.00239692,-131.603,182
2451,1.47,2.03,0.99,0.81,-0.0598863,-0.158619,-131.603,183.705
2501,1.47,3.6,1,0.76,0.429727,-0.149315,-131.603,184
2551,1.48,0.71,1.02,0.71,-0.186281,0.0535589,-131.603,185.989
2601,1.47,0.68,1.04,0.66,0.544684,-0.0156354,-131.603,184
2651,1.45,0.69,1.05,0.6,-0.208062,-0.0153038,-131.603,180.033
2701,1.43,0.69,1.07,0.55,0.149487,0.147089,-131.603,176.057
2751,1.4,0.73,1.08,0.5,-0.0706008,-0.0159477,-131.603,170.099
2801,1.37,3.6,1.1,0.46,-0.105551,0.213702,-131.603,164.342
2851,1.34,3.6,1.15,0.41,0.149308,-0.0574049,-131.603,159.763
2901,1.31,3.6,1.19,0.36,-0.171859,0.243903,-131.603,153.021
2951,1.26,3.6,1.23,0.32,-0.191274,0.000153963,-131.603,143.764
3001,1.22,3.6,1.28,0.27,-0.135969,-0.223801,-131.603,135.022
3051,1.19,3.6,1.33,0.22,-3.98902,-8.67924,-131.603,128.004
3101,1.12,3.6,1.38,0.21,-0.501588,0.441888,-131.603,115.528
3151,1.09,3.6,1.4,0.21,-0.16367,0.572901,-131.603,110.007
3201,1.08,3.6,1.44,0.22,-0.14139,0.540473,-131.603,106.005
3251,1.05,3.6,1.45,0.21,-0.0561542,0.309974,-131.603,100.881
3301,1.02,2.84,1.5,0.21,0.0346788,0.432451,-131.603,94.0192
3351,0.99,3.6,1.53,0.21,-0.269035,0.356787,-131.603,88.0146
3401,0.96,3.6,1.56,0.21,0.354915,0.280332,-131.603,82.0253
3451,0.92,3.6,1.59,0.21,0.242538,0.232944,-131.603,74.1148
3501,0.89,2.81,1.62,0.21,-0.444461,0.395647,-131.603,68.1982
